数据资料,[1965 年 1 月～2020 年 12 月各省市区县工业取水量面板数据](https://rstata.duanshu.com/#/course/9c88989c36fb4f2fb7ac3f840ff0d19f)
数据资料,[1940 年 1 月～2024 年 12 月各省市区县地表净太阳辐射面板数据](https://rstata.duanshu.com/#/course/4421e034b54c4a9ab7e2eedbd5ab31bd)
数据资料,[2000～2024 年 12 月政府采购合同数据(含采购人和供应商经纬度及其所属省市区县)](https://rstata.duanshu.com/#/course/159d29113a1c46a59c9b85c4308ef5fe)
数据资料,[1995～2023 年各省市区县雷击频率、雷击频率与长途光缆线路增长率交乘面板数据](https://rstata.duanshu.com/#/course/bc1708961d93445ab5655dc4708e9b61)
数据资料,[2007～2016 年税调与海关数据匹配结果（版本2）](https://rstata.duanshu.com/#/course/d6d872f05ee746a18f29cd84cab9c028)
数据资料,[2000～2016 年海关数据与工商注册信息匹配结果（版本2）](https://rstata.duanshu.com/#/course/fe61acdee53d4000bb4b80ec0afbfff4)
数据资料,[Stata 绘制图表如何保存成 400dpi 的高清 png 图片](https://rstata.duanshu.com/#/course/1ddd75c1e07d458d9eb33bafd51a7814)
数据资料,[2000～2016 年海关数据（版本2）](https://rstata.duanshu.com/#/course/530c467967104ffe9aeb2c6cfabf9fa1)
课程,[七夕特别推文：使用 R 语言制作旅程地图 ](https://rstata.duanshu.com/#/course/97b6d8d63c0d4a02995d0706c2ea0b05)
数据资料,[1965年1月～2022年12月各省市区县灌溉、火电冷却、生活、制造业用水量面板数据](https://rstata.duanshu.com/#/course/a76a9e002daf4cc2ae2ee0f172e6b5b4)
课程,[readfiles：批量读取指定文件夹中特定扩展名的所有文本文件](https://rstata.duanshu.com/#/course/586d17e4ada14aeda4433ccc8fbd8c02)
数据资料,[1980年1月1日～2024年12月31日各省市区县相对湿度、比湿、地表高度、气压、风速和气温日度数据](https://rstata.duanshu.com/#/course/441fd2ee8e9b449eaafc5a19713d7d11)
名师讲堂,[使用 Stata 调用 deepseek-r1 模型判断上市公司高管的政治背景](https://rstata.duanshu.com/#/course/d22ab30ddc254e2a863de3cab73a8f5c)
名师讲堂,[R 语言：如何根据专利申请数据构造城市间合作申请数量矩阵？](https://rstata.duanshu.com/#/course/5fbaca3dd21d4423aebd37b3aa29f9ca)
数据资料,[国家金融监管总局、省局、分局行政处罚数据（截止2025年8月2日）](https://rstata.duanshu.com/#/course/28ac1ad7df3b4a43a1692adcf96a1919)
课程,[使用 R 语言判断每个城市边界是否和河流交汇](https://rstata.duanshu.com/#/course/6b2c4e8023044b77be71989b51794462)
数据资料,[高效合并多个 dta 文件：appendall 命令详解](https://rstata.duanshu.com/#/course/e1ac857b880a49f493f976c6391741e4)
课程,[R 语言：使用夜间灯光数据构造城市形态指标](https://rstata.duanshu.com/#/course/641566c4bec6430fa796c07d8de3f5bf)
数据资料,
数据资料,[2001～2024 年上市公司前5大供应商、客户与工商注册信息匹配结果（含经纬度及所处的省市区县）](https://rstata.duanshu.com/#/course/00f3b1459590486db9e6c13acf2fbc30)
名师讲堂,[突破性创新与颠覆性创新：使用BERT和 SBERT 模型计算专利文本相似度（一）](https://rstata.duanshu.com/#/course/35f74d717a0b464ea103175adbb5d885)
数据资料,[1985～2024年上市公司渐进性创新与突破性创新相关指标计算结果](https://rstata.duanshu.com/#/course/786e14a581564003b55f8bf340cfd205)
课程,[使用 Stata 绘制中国地图+台风路径（线条+箭头）](https://rstata.duanshu.com/#/course/8e863ad612274a63b0d4bbafbe52350b)
数据资料,[1980年1月1日～2024年12月31日中国各省市区县地表PM2.5质量浓度](https://rstata.duanshu.com/#/course/54b5c2c9bfc64e33a31403246d1231ec)
数据资料,[1949～2024 年各省市区县每天是否有台风及台风路径矢量数据](https://rstata.duanshu.com/#/course/5011b91692ce45b9acd3ae4c655c5224)
数据资料,[2000～2024 年中国县域统计年鉴面板数据](https://rstata.duanshu.com/#/course/e852bb6689c846fcbbe80b90fe242348)
数据资料,[1999～2024 年中国城市统计年鉴面板数据整理结果](https://rstata.duanshu.com/#/course/5b97584a3ecb4cf1b25c2d37212c21e7)
课程,[使用 R 语言处理台风路径数据及判断每天每个区县是否有台风](https://rstata.duanshu.com/#/course/0bff76a800154a63935912a5779f4257)
数据资料,[2012年1月19日～2024年12月31日中国各省市区县日度夜间灯光亮度面板数据](https://rstata.duanshu.com/#/course/49a7c949a7b04ef2b2006b46841f9139)
数据资料,[1948～2025 年各省市区县金融机构网点数量面板数据](https://rstata.duanshu.com/#/course/0857147f74bc40b287efcfcf7ff88a1e)



