title,hashid,create_time,class
1999～2024 年中国城市统计年鉴面板数据整理结果,5b97584a3ecb4cf1b25c2d37212c21e7,2025-04-20T14:40:46Z,数据资料
2000～2024 年中国县域统计年鉴面板数据,e852bb6689c846fcbbe80b90fe242348,2025-04-08T19:40:50Z,数据资料
2007～2020 年税调数据与工商注册数据匹配结果,339d61648ae94aac8f1863474da2199e,2025-11-30T21:20:51Z,数据资料
1985～2024 年省份间、城市间及区县间各类型专利合作数量面板数据,8f29bf02bbb048dab3b46e26cd10dc64,2025-03-16T22:55:44Z,数据资料
1985～2024年上市公司渐进性创新与突破性创新相关指标计算结果,786e14a581564003b55f8bf340cfd205,2025-07-21T15:35:11Z,数据资料
1985~2024 年全部专利引用与被引用详细信息,225ad0b59a9945e1831d2e8b96ca1001,2025-03-14T20:53:59Z,数据资料
1973～2024 年各省市区县平均气温、最高温、最低温日度面板数据 & 栅格数据（GSOD来源）,e02d4225b66a4fafa9663a4590e6d241,2025-01-11T20:44:01Z,数据资料
1973～2024 年中国各省市区县累计降水量日度面板数据 & 栅格数据,1923b66bbe21450e94a52488d702efe0,2025-01-12T01:25:50Z,数据资料
1999～2025 年中国城市统计年鉴面板数据整理结果,c6b0aaf3bcba494faadbacacb012dcef,2026-05-01T23:52:23Z,数据资料
1985～2024 年各省市区县数实融合、数数融合、实实融合水平面板数据,39c5ccd698684f53b2354d10f366d0a3,2025-03-17T20:58:47Z,数据资料
2000～2024 年 12 月政府采购合同数据(含采购人和供应商经纬度及其所属省市区县),159d29113a1c46a59c9b85c4308ef5fe,2025-09-08T20:18:55Z,数据资料
2007～2020 年税调数据与专利数据匹配结果（版本3）,040a2ba951304f5b89f6c925320547f3,2025-12-07T23:35:22Z,数据资料
2000～2024 年土地出让结果公告数据（含经纬度及其所属的省市区县）,4127c2c9925a47f89216f0080cb3d413,2025-05-06T22:27:57Z,数据资料
2001~2024 年上市公司前5大供应商、客户与工商注册信息匹配结果（含经纬度及所处的省市区县）,00f3b1459590486db9e6c13acf2fbc30,2025-07-28T17:49:45Z,数据资料
1985～2024 年关键数字技术专利筛选结果,f9129bf93ecc4da8b15a5065e14b90e0,2025-04-15T12:56:19Z,数据资料
1999～2023 年上市公司子公司工商注册信息匹配结果,3cb9288f5d57488e942fa9cb33f287e5,2025-01-31T17:18:13Z,数据资料
2007~2020 年税调企业地理信息数据（含经纬度及其所处的省市区县）,39f5d95ad58841628fa4d935371bf3fd,2025-12-02T21:23:45Z,数据资料
2000～2016 年海关数据（版本2）,530c467967104ffe9aeb2c6cfabf9fa1,2025-09-05T20:59:00Z,数据资料
1999～2023 年上市公司子公司经纬度及其所处的省市区县数据,24376370188e4622b124f4a3199e395b,2025-01-31T17:02:37Z,数据资料
2000～2025 年中国县域统计年鉴面板数据,a8934d9388b34807ae1e123ac790a163,2026-05-01T23:39:55Z,数据资料
1970～2024 年中国各省市区县、乡镇 CO2 排放量面板数据 & 栅格数据（EDGAR v2025）,0753e7af840f4886a7c78ac8eafbfb50,2025-12-08T22:30:02Z,数据资料
1992～2024 年中国各省市区县乡镇类 DMSP-OLS 夜间灯光面板数据（施开放版本）,2c3880893f5947a5bf764befd3994c74,2025-06-10T14:22:02Z,数据资料
2000～2024 年上市公司注册地址与办公地址（含经纬度及其所处的省市区县）,746d4f595eba41a2a116b5a6edc3ac0a,2025-07-31T15:01:21Z,数据资料
1985～2024 年各上市公司各种绿色专利数量及绿色专利知识宽度（WIPO 筛选标准）,5c8ff3175bc7467f9c23a6ecdd8c7d53,2025-09-10T22:43:33Z,数据资料
中国各级行政区划矢量数据库（SHP 和 GEOJSON 格式，1820～2024 年）,dcda51bb20b84c7cb70d104fb53710b0,2025-02-24T15:18:23Z,数据资料
1985～2024年共同申请专利的所有申请人经纬度及其所属的省市区县,6ce40daa5ebe4164af66b07f68374c49,2025-03-07T00:32:19Z,数据资料
2007～2016年税调数据与工商注册数据匹配结果（版本2）,cb8992583a404b73bd01a0a5486ac640,2025-01-27T14:36:22Z,数据资料
1980年1月1日～2024年12月31日各省市区县相对湿度、比湿、地表高度、气压、风速和气温日度数据,441fd2ee8e9b449eaafc5a19713d7d11,2025-08-18T01:04:03Z,数据资料
2000～2025 年 12 月政府采购合同数据(含采购人和供应商经纬度及其所属省市区县),f12d91a346f14131a0994004bb545c6b,2026-04-08T18:02:43Z,数据资料
2001～2023 年中国各省市区县生态环境质量面板数据,865c987f170c4bc48debe58c610fdd7a,2025-06-02T13:48:08Z,数据资料
1985~2024 年上市公司与绿色低碳专利数据匹配结果,72fa1689e1f54706afc4bbfea35a3dbd,2025-01-01T23:45:21Z,数据资料
1985～2024 年各省份、城市间技术互补指数面板数据,f1f122c0101941299920b425a36aece2,2025-10-15T23:11:39Z,数据资料
1985～2024 年上市公司专利创新突破度 CD 指数计算结果（已更正）,c2efde2002ab407aa8dafbf7e2231397,2026-02-24T23:23:31Z,数据资料
1948～2025 年各省市区县金融机构网点数量面板数据,0857147f74bc40b287efcfcf7ff88a1e,2025-06-24T01:02:01Z,数据资料
1973～2024 年中国各省市区县平均风速、最大阵风和最大持续风速日度面板数据 & 栅格数据,99fd75bbb937422ba47abf780487bf7f,2025-01-12T00:51:09Z,数据资料
1985～2024 年上市公司专利技术空间相似度、企业层面的知识宽度计算结果、新技术空间专利申请及IPC号新增数面板数据,9b62be84b6e64703a19c018c4fafe053,2025-09-23T20:30:14Z,数据资料
1985～2024 年各省份、城市、区县间自引和他引数量汇总,ffe14a93d1624e9ebc9f97badeb34d4b,2025-03-22T21:55:39Z,数据资料
2012年1月19日～2024年12月31日上市公司周边夜间灯光亮度及是否加班面板数据,01b1fd360f374144af1d1471a8c38a53,2025-02-25T16:07:51Z,数据资料
1985～2024 年上市公司专利引证专利的基本信息,67563c79c83248c599465fd138868bf9,2025-01-30T16:26:26Z,数据资料
1985～2024 年绿色专利申请与授权数据（WIPO标准）,e2fbfb44b58b4d48a1cf7ba202587bac,2025-03-03T16:23:45Z,数据资料
1985～2024 年数字经济产业相关专利筛选结果,d5dfb9ca0858457ebc4f176fce9fee80,2025-01-02T21:21:03Z,数据资料
2000～2024 年上市公司年报 PDF & TXT 文件合集,05b850225f8344aa9d3b1a4127314f88,2025-10-06T20:17:21Z,数据资料
2001~2023 年上市公司前5大供应商、客户与工商注册信息匹配结果（含经纬度及所处的省市区县）,c0b17ab7ab2945ffaea746dec9380a8e,2025-02-06T20:03:54Z,数据资料
1985~2024 年上市公司与 WIPO 绿色专利数据匹配结果,9ae2d685aa3445da8aca82df3456f9a5,2025-05-07T22:40:25Z,数据资料
使用 Stata 绘制城市间专利合作申请数量网络图,33d24c5aeb704ffda02e4a26e31cb07e,2025-03-10T00:27:58Z,课程
1999~2023 年上市公司子公司专利申请与授权信息,4fe44c1cf44346f3b94fc4abbd7a43b0,2025-02-06T19:56:48Z,数据资料
1985~2024 年上市公司与关键数字技术专利数据匹配结果,2f5693d3305648d19529eaa904484bbd,2025-09-10T21:32:13Z,数据资料
名师讲堂｜突破性创新与颠覆性创新：使用BERT和 SBERT 模型计算专利文本相似度（一）,35f74d717a0b464ea103175adbb5d885,2025-07-22T13:53:48Z,名师讲堂
1985～2024年上市公司专利的被引证专利信息,27fb7aa15e8c4c0bab7dc74f4d9745c6,2025-02-21T22:17:24Z,数据资料
2000～2024 年各省市区县、乡镇人口密度与人口数量面板数据（Landscan 来源）,726faf369beb49508ee335773e784c26,2026-03-18T16:48:56Z,数据资料
1985～2024 年战略新兴产业专利筛选结果,e12c056613ba49fb868c6da75277fdf0,2025-02-09T16:41:49Z,数据资料
1995～2023 年各省市区县雷击频率、雷击频率与长途光缆线路增长率交乘面板数据,bc1708961d93445ab5655dc4708e9b61,2025-09-08T02:29:27Z,数据资料
2000年~2023年各省市区县、乡镇CO2排放量面板数据&栅格数据（CGER来源）,cb6d7ef4aba04db398169e6410c1ea49,2025-05-29T12:22:10Z,数据资料
使用 Stata 进行税调专利匹配：超高效的匹配流程,43fd5249e06c462a95c499b2c646046d,2025-06-16T14:25:38Z,课程
1940年～2024年各省市区县10米高度的风速、边界层高度及通风系数月度与年度面板数据,5e8f37bf5fc44d329a6efaa466e939ac,2025-02-21T19:58:31Z,数据资料
2007～2016 年税调数据与专利数据匹配结果（版本3）,92e1ec40fa214f308598a661469e069e,2025-01-29T23:56:22Z,数据资料
名师讲堂｜渐进性创新与突破性创新：使用 Stata 计算上市公司跨年专利技术相似度,01387f1aabb742cca0d465e630cbcf38,2025-03-24T15:05:22Z,名师讲堂
2013～2024 年上市公司与政府采购数据匹配结果(截止2024年12月),705954e973f8474797fe7990eae684c4,2025-11-19T22:09:22Z,数据资料
上市公司与工商企业注册数据匹配结果（版本2）,27d78e9e3bbe4e0cacc7c02b79fb526e,2025-04-21T23:29:10Z,数据资料
